ORF	IniProb	rand_mRNA
YAL002W	0.000167404941731	2
YAL007C	0.001753222175995	22
YAL008W	0.001961765262955	5
YAL009W	0.000134260742788	7
YAL010C	0.000273948318536	7
YAL011W	0.000384191101048	2
YAL012W	0.014791127705792	12
YAL013W	0.000643539979531	6
YAL014C	0.00075595422858	6
YAL015C	0.000182112682745	8
YAL016W	0.00070986551661	13
YAL017W	0.000222812243461	5
YAL019W	0.000469933430477	3
YAL020C	0.000237258748975	2
YAL021C	0.00130238894361	3
YAL022C	0.000255261279898	7
YAL023C	0.001591503532407	8
YAL024C	0.000143816960209	1
YAL025C	0.001227402500366	21
YAL026C	0.000280840439649	1
YAL027W	0.000308964193907	7
YAL029C	0.00019180461434	5
YAL031C	0.000224652198471	2
YAL032C	0.000754346857299	4
YAL033W	0.000815132256691	15
YAL034WA	0.000642520845236	3
YAL035W	0.002313135231926	15
YAL036C	0.001305701789175	23
YAL038W	0.012927920263856	157
YAL039C	0.000847236004643	8
YAL040C	0.000422579612641	2
YAL041W	0.000254633624107	4
YAL042W	0.000318262626427	32
YAL043C	0.000481041690328	3
YAL044C	0.001543779332256	89
YAL047C	0.000476422606756	4
YAL048C	0.000318708101496	1
YAL051W	0.000333653790959	3
YAL053W	0.000467723759652	3
YAL056W	5.01640398378347E-05	10
YAL058W	0.000269809161035	3
YAL059W	0.001112127007487	31
YAL060W	0.000701929503806	10
YAR002CA	0.001934228440209	38
YAR002W	0.000803646204498	5
YAR003W	0.000170963865379	10
YAR007C	0.001223312010721	11
YAR008W	0.000207148997351	15
YAR014C	0.000293618005018	8
YAR015W	0.001405962287517	60
YAR018C	0.000795370142964	7
YAR019C	0.000140302590939	2
YAR027W	0.000623848227149	13
YAR042W	0.000438641841317	1
YBL001C	0.004797979663733	37
YBL004W	0.000230112755265	4
YBL005W	0.000214572729888	2
YBL006C	0.000418298101976	37
YBL007C	0.001844008661977	5
YBL008W	0.00023254427865	4
YBL009W	0.001076142719211	2
YBL011W	0.00040172956221	4
YBL014C	3.51755686023811E-05	2
YBL015W	0.001183419119807	6
YBL016W	0.000599081237459	8
YBL017C	0.000500080670002	6
YBL019W	0.00013572013595	3
YBL020W	0.000204084708799	8
YBL021C	0.000768764722982	12
YBL022C	0.001087068729706	2
YBL023C	0.000547619480192	1
YBL024W	0.001729369461054	9
YBL025W	0.000828055187163	12
YBL028C	0.004367262343524	63
YBL030C	0.015774964886275	13
YBL031W	0.001180812860016	1
YBL032W	0.003050958228188	12
YBL033C	0.000634773887813	7
YBL034C	0.000449963679176	3
YBL035C	0.00118302447055	2
YBL036C	0.001142953944863	26
YBL037W	0.00053482397855	1
YBL039C	0.001081042063613	43
YBL041W	0.003285791338103	11
YBL042C	0.000549853729751	6
YBL045C	0.002497914885038	9
YBL046W	0.000344709839236	6
YBL047C	0.001759456243371	2
YBL051C	0.00280166610906	2
YBL052C	8.87823619596074E-05	7
YBL054W	0.000488453905326	5
YBL055C	0.000206688871891	9
YBL056W	0.000435667167629	27
YBL057C	0.000792084049102	13
YBL058W	0.001595677792507	14
YBL060W	0.000103635453882	8
YBL061C	0.000238105743825	11
YBL063W	0.00026604743237	4
YBL064C	0.00280636605116	5
YBL067C	0.000361345110779	6
YBL068W	0.001154958863238	17
YBL069W	0.001238957794584	2
YBL071WA	0.009273932605488	9
