target_id	length	eff_length	est_counts	tpm
YAL001C	3463	3440	16	19.2018
YAL002W	3805	3782	6	6.54953
YAL003W	601	578	258	1842.78
YAL005C	1909	1886	1734.83	3797.48
YAL007C	628	605	6	40.9427
YAL008W	577	554	11	81.9716
YAL009W	760	737	1	5.60161
YAL010C	1462	1439	2	5.73786
YAL011W	1858	1835	7	15.7486
YAL012W	1165	1142	142	513.337
YAL013W	1198	1175	11	38.6487
YAL014C	748	725	8	45.5546
YAL015C	1180	1157	0	0
YAL016W	1888	1865	64	141.671
YAL017W	4051	4028	37	37.9221
YAL018C	958	935	0	0
YAL019W	3376	3353	9	11.0813
YAL020C	982	959	1	4.30489
YAL021C	2494	2471	22	36.7562
YAL022C	1534	1511	3	8.19667
YAL023C	2260	2237	39	71.9746
YAL024C	4288	4265	7	6.77578
YAL025C	901	878	4	18.8081
YAL026C	4048	4025	23	23.5908
YAL027W	766	743	2	11.1128
YAL028W	1567	1544	1	2.67383
YAL029C	4396	4373	11	10.3847
YAL030W	334	311	8	106.196
YAL031C	2263	2240	10	18.4303
YAL032C	1120	1097	14	52.6868
YAL033W	502	479	1	8.61877
YAL034C	1222	1199	57	196.262
YAL034W-A	850	827	0	0
YAL035W	2989	2966	73	101.609
YAL036C	1090	1067	15	58.0373
YAL037C-A	73	50	0	0
YAL037W	784	761	0	0
YAL038W	1483	1460	2368	6695.91
YAL039C	790	767	21	113.033
YAL040C	1723	1700	8	19.4277
YAL041W	2545	2522	16	26.1912
YAL042W	1228	1205	24	82.2252
YAL043C	2338	2315	7	12.4832
YAL044C	493	470	56	491.893
YAL044W-A	313	290	5	71.1791
YAL046C	337	314	1	13.1477
YAL047C	1849	1826	2	4.52178
YAL048C	1969	1946	4	8.4859
YAL049C	721	698	26	153.78
YAL051W	3124	3101	19	25.2949
YAL053W	2332	2309	52	92.9737
YAL054C	2122	2099	150	295.025
YAL055W	523	500	3	24.7703
YAL056W	2623	2600	7	11.1149
YAL058W	1489	1466	1	2.81609
YAL059W	619	596	2	13.8537
YAL060W	1129	1106	22	82.1198
YAL061W	1234	1211	171	582.952
YAL062W	1354	1331	86	266.748
YAL063C	3949	3926	0	0
YAL063C-A	271	248	0	0
YAL064C-A	361	338	0	0
YAL064W	265	242	0	0
YAL064W-B	361	338	0	0
YAL065C	367	344	0.918618	11.0245
YAL067C	1762	1739	6	14.244
YAL067W-A	208	185	0	0
YAL068C	343	320	0	0
YAR002C-A	640	617	18	120.439
YAR002W	1600	1577	9	23.5609
YAR003W	1261	1238	0	0
YAR007C	1846	1823	32	72.4676
YAR008W	808	785	1	5.25909
YAR009C	3571	3548	0	0
YAR010C	1303	1280	9.99099e-05	0.00032224
YAR014C	2110	2087	6	11.8689
