ORF	EL	MM
Y17G9B.11b.1	0.011	0.052
F23H12.1.1	2.272	0.087
EEED8.1.1	6.085	0.022
W04B5.4.1	1.881	0.025
F18A11.5a.1	0.061	0.022
D2096.10.1	0.007	0.0
F27E11.1a.1	0.046	0.018
Y57G11C.14.1	0.081	0.0
F09E5.2.1	1.734	0.0
Y92H12BL.5.1	0.547	0.033
ZK792.2.1	4.059	0.251
F11C7.2.1	0.172	0.0
W09G10.9.1	0.165	0.0
B0280.8.1	0.928	0.035
ZC395.6.1	0.557	0.005
E02C12.4.1	0.204	0.0
F52E4.1a.1	11.222	0.05
F55A12.7.1	0.516	0.026
F15A2.3.1	0.001	0.0
T16G1.9.1	0.726	0.007
Y66D12A.5.1	0.823	0.018
T16H12.11.1	0.581	0.0
F33D11.3.1	0.0	0.0
Y111B2A.21.1	0.002	0.0
F57C12.5b.1	0.211	0.018
F41B5.7a.1	0.003	0.0
T23F11.2.1	0.011	0.016
F58D5.7.1	0.018	0.0
Y57G11C.1144.1	0.021	0.068
W03C9.7a.1	10.06	0.083
F15B9.9.1	0.0	0.016
F12F6.6.1	2.674	0.021
B0310.5a.1	0.624	0.0
Y48G10A.3.1	4.519	0.0
F12E12.8.1	0.551	0.016
T13C2.7.1	0.03	0.017
Y55B1BL.1a.1	1.718	0.0
Y37E11AL.3.1	2.489	0.013
F35G12.11.1	11.27	0.0
Y45G12C.1.1	0.029	0.0
F55D12.5a.1	0.184	0.002
Y39G10AR.8.1	10.295	0.009
ZK1320.3.1	16.277	0.144
W02D9.7.1	27.321	0.0
M01G5.6.1	1.821	0.0
Y46D2A.2.1	0.225	0.0
T20B12.2.1	2.313	0.0
F28C6.2.1	0.622	0.076
F54F7.7.1	0.001	0.0
T05A7.12.1	0.002	0.019
Y116A8C.11.1	0.002	0.0
F16C3.3.1	0.024	0.0
T20B12.9.1	0.038	0.01
ZC376.1.1	0.015	0.002
Y51A2B.9.1	0.001	0.0
T28F2.3.1	0.066	0.0
Y69A2AR.1a.1	1.799	0.027
F58B6.2.1	0.063	0.021
Y53F4B.37.1	0.019	0.0
F59B8.2b.1	10.572	0.0
F56D5.10.1	0.0	0.018
T01C3.1.1	0.306	0.009
C24H11.9.1	1.046	0.0
F13D12.3.1	2.116	0.0
T03F7.4.1	0.001	0.009
K07D4.7a.1	0.076	0.007
D1069.1.1	0.03	0.025
F10C1.8.1	0.058	0.522
ZK1225.4.1	0.002	0.008
R07A4.4.1	0.002	0.017
F10F2.1a.1	0.508	0.022
Y49C4A.9.1	0.002	0.0
W01C9.1.1	0.012	0.0
R07B1.13.1	0.034	0.0
C13G5.2.1	0.43	0.0
C15B12.5b.1	0.009	0.011
Y59A8B.8.1	0.838	0.423
R07D5.1a.1	0.02	0.04
W09D6.1c.1	0.092	0.027
T23F2.13.1	0.009	0.0
ZC373.7.1	0.012	0.134
F01F1.9b.1	3.723	0.03
F53H2.2.1	2.366	0.0
F44D12.4.1	0.043	0.006
F56C11.3.1	0.339	0.0
F59A3.7.1	0.004	0.043
F59G1.3.1	2.698	0.0
T18H9.5a.1	0.075	0.009
F47C12.5.1	0.0	0.012
T01B10.4a.1	0.428	0.0
F41B5.3a.1	0.011	0.012
T23E7.5.1	0.002	0.039
F55B11.4.1	5.531	0.062
F13A7.12.1	0.004	0.006
K09G1.1e.1	1.494	0.024
Y57A10A.2.1	0.174	0.0
C10C6.6.1	1.401	0.02
F10E7.9.1	0.043	0.017
Y39G10AR.7b.1	1.194	0.031
F44F4.5a.1	0.016	0.012
Y110A7A.2.1	0.006	0.027
F26F4.10a.1	5.261	0.006
T20H9.3.1	0.067	0.018
R07H5.7.1	0.001	0.048
T14G11.3.1	1.782	0.007
K02C4.5.1	0.392	0.0
Y40C5A.2.1	0.001	0.024
Y39A3CR.4.1	8.255	0.0
F56B3.8a.1	1.713	0.0
ZC434.8.1	20.163	0.069
Y38E10A.19.1	0.025	0.0
T21G5.4.1	0.075	0.018
T28A11.25.1	0.115	0.015
F36D3.5.1	0.001	0.025
F39H11.1.1	2.231	0.022
F36D1.6.1	0.001	0.0
Y6B3B.9a.1	0.523	0.0
F29B9.2a.1	2.055	0.013
F37C12.21.1	0.02	0.0
F53F4.6a.1	0.028	0.018
F11A5.12.1	0.014	0.108
T21D12.12.1	0.661	0.0
ZC482.5.1	0.006	0.01
C09B9.3.1	0.0	0.0
Y47D3B.4.1	0.016	0.022
