	young	middle	old
Y62E10A.13f.1	67.741	95.687	64.511
Y57G11C.24i.1	15.227	19.977	20.422
Y92H12A.2a.1	7.272	9.336	7.399
C10C5.1g.1	14.26	19.554	17.143
K04G2.5b.1	122.638	141.539	132.274
F28B3.4b.1	11.817	15.57	13.211
M02B1.3b.1	105.056	81.909	143.788
Y57G11A.1e.1	6.326	6.634	3.545
F36H1.2e.1	6.744	12.505	9.212
T14G10.1b.1	20.248	19.003	14.614
F10C1.9b.1	18.024	16.96	15.269
Y41E3.7h.1	41.746	35.966	27.552
C29F7.4a.1	22.918	17.529	29.998
Y106G6D.5a.1	10.268	9.179	6.155
F25H5.1i.1	17.446	26.721	17.914
Y105E8A.25b.1	18.191	16.418	19.839
T28F2.2b.1	22.334	28.827	23.302
F22G12.5c.1	12.096	11.1	13.753
K06A5.1b.1	8.388	8.389	6.354
Y50D4B.1a.1	9.862	7.008	4.167
F31F4.15a.1	17.235	5.107	6.155
Y116A8C.36d.1	18.946	21.158	15.795
F59A7.5c.1	15.979	5.629	8.4
F33E11.2a.1	64.628	53.996	63.433
Y50D4B.4a.1	36.026	4.574	2.439
F35G12.5a.1	24.539	30.435	17.948
K10G6.3g.1	7.316	6.98	11.213
W07G9.2b.1	11.621	4.656	5.937
F56E10.1b.1	10.56	10.663	11.426
F09E5.15c.1	1693.402	1212.691	1147.795
T01D1.2l.1	24.504	32.739	36.484
Y37B11A.2a.1	7.604	6.738	4.113
K11D12.10c.1	11.107	3.73	7.713
F52H2.2b.1	11.919	10.843	24.129
M02H5.8a.1	61.941	285.03	184.291
Y75B7AL.4c.1	27.183	37.479	40.942
F57C7.1a.1	13.562	9.664	20.251
T23D8.1b.1	60.899	69.472	91.439
Y47G6A.23d.1	5.091	6.756	5.341
Y111B2A.14c.1	9.773	14.664	11.057
Y108G3AL.7b.1	13.155	9.713	14.314
F54D7.7.1	4662.756	8776.585	6057.505
F37B4.10a.1	11.515	7.546	11.416
W02G9.5a.1	8.288	14.823	10.26
Y19D10A.11a.1	6.421	4.26	4.399
Y37A1B.1a.1	47.676	32.759	49.686
K12B6.1.1	30.814	26.036	46.93
F56A6.1a.1	132.901	177.514	160.047
K03D10.3a.1	18.972	10.122	27.44
K08A8.3a.1	12.602	13.71	27.367
R06A4.4c.1	64.301	39.102	55.063
W09B6.4c.1	33.204	35.531	21.638
D2021.1a.1	12.243	12.221	17.455
F40F4.6b.1	58.749	75.077	71.035
F45E12.2a.1	13.711	5.713	7.536
T21B10.5a.1	32.006	26.755	32.68
E01G4.1b.1	66.988	75.464	97.5
F32D1.9b.1	47.746	34.295	48.697
M04F3.5a.1	10.631	16.318	15.236
Y56A3A.31b.1	20.371	19.048	20.404
F10E7.8b.1	23.428	27.966	28.91
Y41C4A.32.1	35.676	15.282	64.124
D2085.5k.1	6.933	9.775	10.112
Y48A6B.13f.1	80.07	69.475	65.09
T22B11.4c.1	4.82	6.023	5.676
F17C11.17.1	12.979	5.637	13.153
Y55F3BR.6b.1	61.67	53.68	31.931
ZK1151.1l.1	5.116	4.645	3.34
H05L14.2a.1	16.698	16.573	13.467
Y110A2AR.2f.1	63.989	46.632	51.618
F42G2.2c.1	7.131	5.407	10.833
Y111B2A.8f.1	42.385	48.985	52.171
W03A5.6b.1	25.368	17.823	17.286
T10E9.14a.1	18.871	29.733	23.596
ZK1193.2a.1	11.251	15.956	19.179
D2089.8.1	35.326	33.208	21.05
Y39A1A.8b.1	10.576	17.649	14.949
T21F4.1.1	59.096	71.616	64.737
F53F10.4b.1	388.159	281.578	407.247
F09G2.1a.1	4.4	4.217	4.473
F45H11.11.1	43.344	10.448	19.81
Y110A2AM.3a.1	35.666	27.416	33.744
F52E1.9b.1	31.352	7.798	28.359
F53G2.12a.1	102.061	160.281	95.978
Y111B2A.19a.1	29.098	21.333	46.896
F53E4.1d.1	42.775	46.751	50.211
Y38F2AR.12a.1	5.822	8.015	5.466
R01H2.7.1	9.943	5.685	4.681
H01M10.3.1	258.429	77.847	142.273
H29C22.1.1	120.811	59.749	27.714
F09A5.9.1	100.221	86.846	147.775
Y49E10.29.1	11.895	7.163	7.217
ZC250.4.1	30.33	28.112	32.598
C42C1.15.1	38.677	72.627	59.659
C42C1.5.1	34.785	28.776	31.023
T06A10.3a.1	51.598	23.008	24.965
T06A10.4a.1	184.443	115.192	135.368
F38A1.5.1	10.449	32.051	11.819
ZC47.14.1	7.665	6.039	9.405
Y37F4.6.1	3.974	3.551	3.662
Y34D9A.8b.1	20.457	14.487	7.827
Y71F9AR.4.1	46.599	23.508	25.282
Y47G6A.33.1	271.597	83.515	47.231
Y54G2A.12.1	17.547	12.362	8.939
ZK813.7.1	1277.426	965.365	1356.334
T28A11.2.1	56.133	116.485	93.64
Y39B6A.3b.1	30.992	41.789	29.441
M110.5b.1	212.129	167.775	167.655
T07D4.5.1	61.359	45.454	52.329
T11B7.3a.1	12.444	9.575	2.831
F54D5.1a.1	5.187	9.183	8.568
F37D6.2c.1	36.023	30.607	43.396
F43G9.2a.1	13.011	15.822	15.84
F02E9.4b.1	27.468	28.123	27.356
T02E1.5b.1	69.046	129.564	72.469
T05F1.1b.1	116.525	98.98	134.683
T26F2.3.1	8.961	22.841	30.45
M01E5.3c.1	54.555	38.949	61.849
Y60A3A.19b.1	59.541	86.435	73.458
Y95D11A.3.1	19.993	15.732	12.387
Y37H2A.13.1	19.502	24.574	29.149
Y105E8A.23b.1	5.125	9.836	7.128
T19H5.7.1	80.533	25.554	29.367
ZK809.8b.1	142.385	142.555	112.438
D1081.7.1	64.005	87.082	69.267
F15B9.10a.1	34.072	30.643	40.535
F36A2.1d.1	25.902	19.428	27.813
F02E9.10c.1	47.505	53.106	51.322
R13H4.2a.1	91.475	67.201	13.533
F49E2.2c.1	13.479	10.395	12.597
F40F11.2.1	2.548	2.695	4.417
F56F4.8.1	21.445	8.521	7.555
T23B12.8b.1	34.588	21.07	40.676
F49D11.10.1	10.886	16.973	15.419
K05F6.4.1	11.073	6.677	9.903
