self	non	young	nyoung	middle	nmiddle	old	nold	young_middle	young_old	middle_old
0.299	0.283	0.431	0.302	NA	0.259	0.168	0.279	0.293	0.306	0.225
0.4	0.343	0.328	0.343	NA	NA	0.472	0.343	NA	0.343	0.225
NA	0.242	NA	0.242	NA	NA	NA	0.242	NA	0.242	0.225
0.454	0.351	0.561	0.362	0.491	0.339	0.311	0.351	0.349	0.374	0.328
0.384	0.397	0.495	0.406	NA	0.386	0.273	0.395	0.402	0.408	0.37
0.369	0.278	0.476	0.285	0.384	0.249	0.246	0.302	0.231	0.338	0.266
0.324	0.295	0.365	0.291	NA	0.271	0.282	0.315	0.235	0.319	0.307
0.501	0.438	0.566	0.449	0.657	0.44	0.282	0.427	0.462	0.436	0.417
0.622	0.382	0.491	0.263	0.874	0.424	0.5	0.458	0.229	0.297	0.618
0.378	0.107	NA	NA	0.545	0.107	0.21	0.107	NA	NA	0.107
0.432	0.265	0.432	0.265	NA	NA	NA	0.265	NA	0.265	0.107
0.33	0.3	0.295	0.3	NA	NA	0.366	0.3	NA	0.3	0.107
0.478	0.415	0.605	0.415	NA	NA	0.35	0.415	NA	0.415	0.107
0.507	0.466	0.659	0.497	NA	0.417	0.354	0.467	0.462	0.515	0.372
0.471	0.472	0.803	0.492	0.648	0.494	0.386	0.441	0.596	0.439	0.442
0.809	0.658	0.936	0.68	0.954	0.626	0.764	0.666	0.626	0.706	0.625
0.272	0.266	0.347	0.266	NA	NA	0.198	0.266	NA	0.266	0.625
0.493	0.438	0.683	0.468	0.483	0.439	0.312	0.408	0.498	0.437	0.379
0.49	0.363	0.61	0.409	0.636	0.319	0.445	0.362	0.367	0.431	0.294
0.283	0.268	0.299	0.268	NA	NA	0.267	0.268	NA	0.268	0.294
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.294
0.369	0.267	0.369	0.267	NA	0.267	NA	NA	0.267	NA	0.294
0.318	0.354	0.318	0.354	NA	NA	NA	0.354	NA	0.354	0.294
0.373	0.305	0.4	0.332	NA	0.257	0.345	0.309	0.292	0.353	0.222
0.549	0.335	0.538	0.256	0.677	0.349	0.432	0.4	0.205	0.307	0.494
0.38	0.255	0.448	0.269	NA	0.203	0.311	0.276	0.193	0.308	0.212
0.506	0.39	0.798	0.39	NA	NA	0.214	0.39	NA	0.39	0.212
0.497	0.334	0.699	0.373	0.491	0.303	0.302	0.325	0.35	0.396	0.255
0.33	0.243	0.337	0.243	NA	NA	0.323	0.243	NA	0.243	0.255
0.251	NA	NA	NA	NA	NA	0.251	NA	NA	NA	0.255
0.481	0.392	0.567	0.429	0.58	0.397	0.297	0.35	0.476	0.382	0.318
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.318
0.386	0.295	0.512	0.297	NA	0.285	0.26	0.299	0.282	0.305	0.288
0.647	0.531	0.739	0.538	0.673	0.526	0.53	0.528	0.537	0.539	0.516
0.3	0.275	0.415	0.275	NA	NA	0.184	0.275	NA	0.275	0.516
0.53	0.461	0.489	0.447	0.806	0.504	0.491	0.439	0.548	0.396	0.482
0.459	0.397	0.754	0.393	0.72	0.409	0.367	0.39	0.423	0.378	0.402
0.412	0.31	0.516	0.352	0.409	0.291	0.31	0.287	0.356	0.348	0.227
0.742	0.576	0.73	0.53	0.874	0.573	0.622	0.623	0.48	0.58	0.666
0.463	0.391	0.709	0.433	0.658	0.35	0.39	0.392	0.391	0.454	0.329
0.262	0.261	0.292	0.287	NA	0.218	0.233	0.263	0.255	0.303	0.181
0.479	0.402	0.629	0.432	0.726	0.386	0.412	0.391	0.444	0.426	0.357
0.7	0.636	0.763	0.612	0.75	0.644	0.588	0.651	0.605	0.619	0.682
0.58	0.463	0.607	0.459	0.677	0.455	0.457	0.476	0.438	0.48	0.472
0.364	0.291	0.336	0.278	NA	0.272	0.391	0.318	0.213	0.311	0.331
0.377	0.303	0.493	0.33	NA	0.237	0.26	0.319	0.255	0.368	0.219
NA	0.22	NA	0.22	NA	NA	NA	0.22	NA	0.22	0.219
0.469	0.389	0.494	0.376	0.622	0.408	0.439	0.385	0.407	0.361	0.408
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.408
0.319	0.259	0.392	0.263	NA	0.254	0.246	0.258	0.261	0.263	0.247
0.77	0.674	0.872	0.639	0.933	0.718	0.725	0.666	0.704	0.607	0.725
0.256	0.284	0.256	0.284	NA	NA	NA	0.284	NA	0.284	0.725
0.555	0.452	0.607	0.448	0.613	0.434	0.446	0.473	0.409	0.487	0.46
0.342	0.194	0.342	0.15	NA	0.231	NA	0.216	0.161	0.138	0.372
0.598	0.521	0.721	0.499	0.82	0.536	0.541	0.526	0.499	0.499	0.554
0.312	0.23	0.386	0.23	NA	NA	0.238	0.23	NA	0.23	0.554
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.554
0.238	0.202	0.279	0.23	NA	0.141	0.197	0.215	0.164	0.263	0.119
0.334	0.206	0.455	0.206	NA	NA	0.214	0.206	NA	0.206	0.119
0.418	0.36	0.436	0.353	NA	0.354	0.399	0.371	0.327	0.366	0.382
0.301	0.226	0.301	0.226	NA	NA	NA	0.226	NA	0.226	0.382
0.468	0.362	0.416	0.387	0.521	0.359	NA	0.328	0.395	0.37	0.287
0.718	0.606	0.739	0.6	0.79	0.645	0.703	0.581	0.705	0.547	0.614
0.44	0.365	0.659	0.421	0.619	0.315	0.374	0.359	0.387	0.439	0.28
0.482	0.421	0.806	0.474	0.802	0.404	0.375	0.393	0.531	0.445	0.341
0.908	0.818	0.948	0.822	0.977	0.818	0.889	0.814	0.834	0.816	0.811
0.607	0.576	0.465	0.537	0.73	0.602	0.626	0.591	0.548	0.526	0.656
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.656
0.497	0.369	0.69	0.423	0.45	0.317	0.351	0.369	0.371	0.475	0.263
0.251	0.279	0.251	0.279	NA	NA	NA	0.279	NA	0.279	0.263
0.605	0.421	0.642	0.416	0.733	0.406	0.441	0.441	0.381	0.451	0.43
0.567	0.402	0.694	0.424	0.563	0.364	0.444	0.419	0.369	0.479	0.359
0.248	0.214	0.268	0.214	NA	NA	0.227	0.214	NA	0.214	0.359
0.365	0.381	0.4	0.381	NA	NA	0.331	0.381	NA	0.381	0.359
0.433	0.253	0.538	0.241	0.61	0.241	0.151	0.275	0.207	0.275	0.275
0.49	0.334	0.641	0.37	NA	0.255	0.34	0.35	0.284	0.412	0.225
0.426	0.244	0.509	0.27	NA	0.219	0.343	0.235	0.271	0.269	0.167
0.394	0.276	0.394	0.276	NA	NA	NA	0.276	NA	0.276	0.167
0.589	0.485	0.626	0.501	0.744	0.479	0.396	0.473	0.508	0.495	0.451
0.302	0.269	0.302	0.269	NA	NA	NA	0.269	NA	0.269	0.451
0.324	0.2	0.457	0.221	NA	0.159	0.192	0.206	0.183	0.241	0.135
0.494	0.431	0.542	0.431	0.564	0.428	0.376	0.434	0.426	0.437	0.43
0.502	0.364	0.597	0.38	0.552	0.32	0.356	0.392	0.307	0.452	0.332
0.34	0.387	0.34	0.387	NA	NA	NA	0.387	NA	0.387	0.332
0.437	0.381	0.74	0.429	0.574	0.354	0.364	0.366	0.442	0.422	0.31
0.247	0.243	0.247	0.243	NA	NA	NA	0.243	NA	0.243	0.31
0.532	0.444	0.621	0.443	0.544	0.433	0.432	0.457	0.42	0.466	0.447
0.455	0.335	0.665	0.355	0.561	0.314	0.402	0.337	0.329	0.368	0.306
0.455	0.363	0.641	0.384	0.593	0.351	0.348	0.356	0.385	0.383	0.329
0.455	0.221	0.455	0.221	NA	NA	NA	0.221	NA	0.221	0.329
0.514	0.306	0.581	0.341	0.614	0.233	0.347	0.342	0.232	0.45	0.235
0.468	0.293	0.668	0.319	NA	0.268	0.267	0.282	0.324	0.317	0.213
0.317	0.375	0.539	0.368	NA	0.395	0.095	0.369	0.394	0.356	0.396
0.421	0.345	0.421	0.345	NA	NA	NA	0.345	NA	0.345	0.396
0.492	0.386	0.744	0.44	0.562	0.34	0.438	0.381	0.408	0.456	0.305
0.33	0.234	0.495	0.252	NA	0.163	0.165	0.264	0.145	0.305	0.181
0.435	0.322	0.53	0.331	0.491	0.322	0.283	0.312	0.341	0.321	0.302
0.29	0.233	0.237	0.236	0.29	0.207	0.343	0.257	0.186	0.285	0.228
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.228
0.846	0.634	0.819	0.639	0.925	0.632	0.837	0.632	0.642	0.637	0.626
0.319	NA	0.319	NA	NA	NA	NA	NA	NA	NA	0.626
0.579	0.503	0.76	0.508	0.747	0.495	0.462	0.506	0.496	0.516	0.495
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.495
0.844	0.682	0.875	0.643	0.942	0.712	0.822	0.689	0.655	0.638	0.741
0.48	0.316	0.459	0.319	0.537	0.31	0.445	0.319	0.311	0.328	0.309
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.309
0.41	0.299	0.41	0.288	NA	0.283	NA	0.329	0.254	0.322	0.343
0.594	0.481	0.805	0.522	0.716	0.445	0.538	0.478	0.496	0.535	0.42
0.575	0.515	0.805	0.555	0.799	0.514	0.499	0.485	0.635	0.515	0.454
0.48	0.387	0.808	0.455	0.657	0.363	0.311	0.35	0.497	0.426	0.274
0.631	0.525	0.734	0.554	NA	0.481	0.529	0.526	0.523	0.569	0.438
0.557	0.424	0.579	0.449	0.718	0.406	0.374	0.418	0.437	0.461	0.376
0.43	0.392	0.581	0.408	NA	0.351	0.278	0.403	0.359	0.433	0.344
0.502	0.386	0.641	0.408	0.805	0.358	0.428	0.389	0.372	0.426	0.352
0.557	0.471	0.713	0.507	0.568	0.469	0.39	0.438	0.537	0.476	0.4
0.381	0.239	0.54	0.25	0.381	0.196	0.222	0.272	0.175	0.326	0.217
0.512	0.443	0.512	0.443	NA	NA	NA	0.443	NA	0.443	0.217
0.641	0.553	0.844	0.583	0.824	0.532	0.577	0.545	0.582	0.584	0.507
0.585	0.487	0.753	0.522	0.726	0.475	0.533	0.47	0.556	0.505	0.434
0.537	0.45	0.721	0.495	0.613	0.415	0.493	0.442	0.481	0.502	0.383
0.673	0.529	0.824	0.501	0.885	0.541	0.613	0.541	0.48	0.512	0.571
0.842	0.67	0.742	0.664	0.916	0.654	0.846	0.687	0.603	0.695	0.679
0.276	0.226	0.212	0.212	0.446	0.235	0.171	0.23	0.217	0.207	0.254
0.288	0.25	0.357	0.25	NA	NA	0.219	0.25	NA	0.25	0.254
0.373	NA	NA	NA	NA	NA	0.373	NA	NA	NA	0.254
0.341	0.197	0.341	0.197	NA	NA	NA	0.197	NA	0.197	0.254
0.445	0.341	0.746	0.394	0.632	0.338	0.363	0.304	0.492	0.346	0.262
