ORF	exp_young	exp_middle	exp_old	category	complex
C49H3.11.1	2508.485	2016.749	1890.879	Ribosome	40S_subunit
C23G10.3.1	2861.901	2811.098	2359.262	Ribosome	40S_subunit
F56F3.5.1	2605.786	2649.887	2579.256	Ribosome	40S_subunit
Y43B11AR.4.1	2677.082	2331.032	2627.51	Ribosome	40S_subunit
T05E11.1.1	2759.262	2348.386	2421.138	Ribosome	40S_subunit
Y71A12B.1a.1	2720.561	2452.793	2472.349	Ribosome	40S_subunit
ZC434.2.1	3173.537	3106.823	2579.681	Ribosome	40S_subunit
F42C5.8a.1	3394.365	3273.822	3388.398	Ribosome	40S_subunit
F40F8.10.1	4564.038	3902.899	3233.429	Ribosome	40S_subunit
D1007.6.1	3478.695	3275.164	3206.538	Ribosome	40S_subunit
F40F11.1.1	4995.112	3044.875	2903.627	Ribosome	40S_subunit
F54E7.2.1	2296.114	1520.566	1235.474	Ribosome	40S_subunit
C16A3.9.1	3165.159	2770.987	2676.487	Ribosome	40S_subunit
F37C12.9.1	2810.55	2205.664	2278.59	Ribosome	40S_subunit
F36A2.6.1	3800.779	3683.568	3323.542	Ribosome	40S_subunit
F53A3.3a.1	2644.941	2429.316	2482.073	Ribosome	40S_subunit
T01C3.6.1	3667.905	2855.931	3012.469	Ribosome	40S_subunit
T08B2.10.1	2707.521	2683.033	2769.918	Ribosome	40S_subunit
Y57G11C.16.1	3375.045	3050.634	3170.993	Ribosome	40S_subunit
T05F1.3.1	3644.366	3426.834	2874.467	Ribosome	40S_subunit
Y105E8A.16.1	3612.34	2784.874	2981.413	Ribosome	40S_subunit
F37C12.11.1	3030.493	3509.04	3536.002	Ribosome	40S_subunit
F28D1.7a.1	4526.112	4643.408	3748.569	Ribosome	40S_subunit
T07A9.11.1	3774.93	3309.311	2908.522	Ribosome	40S_subunit
K02B2.5.1	3868.219	4645.57	3576.703	Ribosome	40S_subunit
F39B2.6.1	2993.581	2922.343	3602.003	Ribosome	40S_subunit
F56E10.4.1	4752.436	3141.095	3944.719	Ribosome	40S_subunit
Y41D4B.5.1	3712.734	5012.622	4438.767	Ribosome	40S_subunit
B0393.1.1	2899.473	2397.208	2720.681	Ribosome	40S_subunit
Y71F9AL.13a.1	2731.967	2452.793	2013.549	Ribosome	60S_subunit
Y62E10A.1.1	2325.227	3818.476	2604.055	Ribosome	60S_subunit
F13B10.2a.1	3066.752	2561.736	2292.737	Ribosome	60S_subunit
B0041.4.1	3224.985	2937.126	3129.718	Ribosome	60S_subunit
F54C9.5.1	2828.951	2987.532	2842.008	Ribosome	60S_subunit
R151.3.1	2940.922	2647.41	2844.412	Ribosome	60S_subunit
F53G12.10.1	2973.086	2530.229	2739.498	Ribosome	60S_subunit
Y24D9A.4.1	2435.232	2242.674	2117.551	Ribosome	60S_subunit
B0250.1.1	3321.004	2693.916	2878.846	Ribosome	60S_subunit
R13A5.8.1	3478.857	3232.246	3670.04	Ribosome	60S_subunit
F10B5.1.1	4230.184	4276.723	3773.948	Ribosome	60S_subunit
T22F3.4a.1	3150.786	3066.752	2492.698	Ribosome	60S_subunit
F07D10.1.1	403.404	257.295	290.233	Ribosome	60S_subunit
JC8.3a.1	2694.572	2445.384	1956.868	Ribosome	60S_subunit
C32E8.2a.1	3196.655	2842.946	2702.238	Ribosome	60S_subunit
M01F1.2.1	4251.654	3138.827	3084.577	Ribosome	60S_subunit
K11H12.2.1	3360.254	3373.027	3164.662	Ribosome	60S_subunit
