ORF	EL	MM
YNR066C	0.411	0.0
YLR179C	17.092	0.025
YIL030C	1.87	0.017
YDR353W	16.791	0.041
YNL313C	0.93	0.009
YJL162C	0.407	0.05
YIL094C	10.731	0.022
YGL038C	2.607	0.019
YGL188C-A	0.39	0.0
YFR051C	3.837	0.018
YDL206W	0.158	0.013
YBR254C	0.998	0.051
YNL058C	1.92	0.028
YEL019C	0.614	0.019
YNL254C	0.362	0.047
YLR267W	0.622	0.0
YLR340W	193.638	0.137
YLR208W	7.468	0.0
YDR179W-A	0.238	0.013
YAL035W	5.421	0.017
YDR416W	0.465	0.012
YER098W	0.596	0.021
YJL216C	0.023	0.009
YKL161C	0.143	0.0
YCR014C	0.187	0.003
YNR067C	2.334	0.009
YDR165W	1.254	0.016
YBR095C	1.387	0.023
YIR007W	0.85	0.031
YKR077W	2.132	0.011
YKL108W	0.506	0.011
YNL067W	29.616	0.724
YLR024C	0.293	0.012
YLR079W	2.355	0.018
YLR098C	0.417	0.0
YPR138C	0.562	0.01
YOR258W	0.591	0.032
YLR220W	3.07	0.015
YGL096W	1.857	0.0
YLL051C	1.212	0.015
YIL071C	0.425	0.022
YFL042C	0.929	0.015
YEL049W	0.021	0.0
YHL031C	5.167	0.036
YPL042C	0.426	0.023
YKL149C	0.397	0.005
YPL143W	228.676	0.519
YDR188W	8.649	0.016
YNL284C	1.896	0.04
YKR020W	1.148	0.0
YCL033C	3.701	0.053
YGL128C	0.55	0.032
YGR246C	1.035	0.022
YFR026C	0.028	0.065
YER044C	4.997	0.0
YDL128W	5.07	0.015
YPR125W	2.175	0.007
YPL097W	0.572	0.0
YLR272C	0.29	0.017
YOR232W	7.586	0.044
YLR152C	0.549	0.049
YLR327C	280.469	0.0
YLR228C	0.447	0.009
YLR278C	0.778	0.009
YBL008W-A	0.038	0.0
YNL202W	2.263	0.0
YNL207W	1.709	0.031
YBR293W	0.115	0.057
YMR316C-A	0.031	0.163
YLR315W	0.96	0.032
YNR060W	0.027	0.007
YIR001C	2.575	0.004
YGR206W	1.868	0.049
YJL156C	1.039	0.02
YKL061W	2.467	0.0
YHL013C	1.278	0.003
YNL079C	14.013	0.04
YBL093C	2.732	0.032
YMR289W	0.92	0.013
YDL007C-A	0.015	0.0
YDR034C	0.91	0.033
YMR017W	0.073	0.0
YOL078W	0.469	0.017
YAL037W	0.204	0.034
YDL060W	0.991	0.039
YNR020C	0.893	0.059
YJL043W	0.013	0.016
YHR100C	1.407	0.0
YHR152W	1.635	0.046
YAR023C	0.036	0.0
YDL219W	1.955	0.0
YGR007W	1.24	0.0
YEL064C	0.309	0.01
YOR343W-A	0.0	0.062
YDR458C	0.861	0.014
YDR248C	1.454	0.0
YKL140W	1.304	0.0
YGL258W	0.238	0.0
YKL069W	2.109	0.028
YPL249C	1.213	0.008
YBR007C	0.382	0.008
YEL015W	1.738	0.033
YNL269W	0.004	0.038
YMR083W	17.371	0.112
YDR504C	0.126	0.023
YKL126W	2.722	0.013
YLR074C	4.34	0.0
YLR096W	0.684	0.011
YGL133W	0.555	0.025
YFL034C-B	1.311	0.007
YMR264W	3.089	0.015
YLR351C	3.283	0.003
YNR003C	1.233	0.0
YIR029W	0.13	0.02
YGL090W	0.256	0.012
YCL069W	0.0	0.024
YPR143W	3.545	0.012
YHR214C-B	0.007	0.057
YPL043W	1.903	0.032
YEL006W	0.729	0.0
YOL034W	0.293	0.022
YHR201C	1.296	0.0
YBR225W	1.218	0.019
YFR046C	0.332	0.0
YJL077W-B	0.015	0.152
YBL100W-C	0.048	0.0
YLR300W	24.235	0.022
YKL117W	26.38	0.207
YNL183C	1.382	0.016
YML105C	3.431	0.0
YLL021W	0.975	0.012
YIL046W-A	0.129	0.0
YNL298W	0.709	0.042
YER040W	0.759	0.007
YKR057W	53.522	0.614
YML101C	1.725	0.0
YOR214C	0.005	0.0
YOR143C	0.732	0.031
YDR321W	4.003	0.003
YNR024W	1.625	0.016
YGL098W	1.196	0.004
YEL039C	34.841	0.14
YMR048W	0.603	0.0
YNL081C	3.829	0.0
YGL144C	0.302	0.016
YGL097W	2.697	0.019
YJL105W	0.091	0.025
YHR070W	1.786	0.026
YIL140W	0.526	0.013
YGR046W	1.695	0.005
YDR148C	28.124	0.0
YJL042W	1.15	0.033
YOL042W	0.716	0.027
YJL098W	0.855	0.011
YLR078C	1.932	0.02
YOR343W-B	0.001	0.183
YDR314C	0.108	0.014
YLR173W	0.943	0.008
YNL220W	7.66	0.025
YLR367W	20.578	0.542
YDR265W	0.547	0.009
YFR049W	16.832	0.032
YBR024W	1.652	0.003
YOR105W	0.002	0.734
YOR034C	0.807	0.025
YJR072C	2.432	0.0
YCR041W	0.006	0.207
YJL053W	1.83	0.0
YHR016C	1.981	0.021
YOR342C	0.676	0.0
YCL026C-B	12.89	0.026
YDL039C	0.012	0.016
YKL192C	19.327	0.016
YOR119C	0.599	0.039
YIR028W	0.041	0.022
YHR149C	0.553	0.02
YPL147W	0.628	0.007
YLR306W	0.571	0.053
YLR051C	1.961	0.028
YMR011W	0.549	0.072
YHR137W	1.301	0.01
YNR014W	3.461	0.019
YBR054W	88.297	0.171
YLL003W	0.156	0.016
