ORF	exp_young	exp_middle	exp_old	category	complex
YGR214W	1358.473	569.473	628.451	Ribosome	40S_subunit
YLR048W	1671.985	611.665	629.208	Ribosome	40S_subunit
YLR441C	1537.886	803.006	885.978	Ribosome	40S_subunit
YML063W	1839.463	884.177	897.978	Ribosome	40S_subunit
YGL123W	3204.55	1339.674	1534.913	Ribosome	40S_subunit
YNL178W	3185.719	1506.958	1659.492	Ribosome	40S_subunit
YJR145C	1931.37	720.517	823.823	Ribosome	40S_subunit
YJR123W	4316.868	1772.844	1990.123	Ribosome	40S_subunit
YBR181C	1715.319	730.599	890.18	Ribosome	40S_subunit
YOR096W	2644.606	1422.698	1617.765	Ribosome	40S_subunit
YNL096C	1085.796	459.595	586.053	Ribosome	40S_subunit
YER102W	1521.755	713.207	748.324	Ribosome	40S_subunit
YPL081W	405.516	318.145	364.475	Ribosome	40S_subunit
YBR189W	2768.837	1058.325	854.782	Ribosome	40S_subunit
YOR293W	2125.317	1055.617	1035.385	Ribosome	40S_subunit
YMR230W	1569.594	925.243	1060.228	Ribosome	40S_subunit
YDR025W	2245.967	951.593	1148.765	Ribosome	40S_subunit
YBR048W	1918.657	831.413	819.022	Ribosome	40S_subunit
YOR369C	4141.165	1542.954	1663.143	Ribosome	40S_subunit
YDR064W	5222.242	1989.813	2205.837	Ribosome	40S_subunit
YCR031C	4505.816	1707.961	1481.033	Ribosome	40S_subunit
YJL191W	649.822	354.985	356.703	Ribosome	40S_subunit
YOL040C	5014.561	2172.638	2527.15	Ribosome	40S_subunit
YJL190C	4032.127	1143.814	825.711	Ribosome	40S_subunit
YMR143W	1686.739	952.52	990.611	Ribosome	40S_subunit
YDL083C	1745.326	642.56	851.253	Ribosome	40S_subunit
YML024W	2787.092	1633.501	1690.721	Ribosome	40S_subunit
YDR447C	1557.238	700.761	865.515	Ribosome	40S_subunit
YDR450W	2065.512	941.562	878.435	Ribosome	40S_subunit
YML026C	1654.352	1012.834	1037.862	Ribosome	40S_subunit
YOL121C	1720.413	823.898	659.336	Ribosome	40S_subunit
YNL302C	1926.274	863.42	879.426	Ribosome	40S_subunit
YHL015W	6030.115	1614.46	1575.631	Ribosome	40S_subunit
YKR057W	1728.809	719.423	590.469	Ribosome	40S_subunit
YJL136C	2520.932	1429.51	2086.189	Ribosome	40S_subunit
YLR367W	858.033	429.592	499.571	Ribosome	40S_subunit
YPR132W	2283.725	1134.624	1215.801	Ribosome	40S_subunit
YER074W	2618.95	1356.774	1401.373	Ribosome	40S_subunit
YGR027C	3465.575	2110.361	2441.495	Ribosome	40S_subunit
