ORF	p3_10_young	p3_90_young	p3_10_middle	p3_90_middle	p3_10_old	p3_90_old
Y110A7A.17a.1	0.48081	1.60147	0.0	2.35575	0.37417	1.74743
Y67D2.1.1	0.30741	1.75694			0.31776	1.73703
F29D10.4.1	0.0	1.9678			0.22803	2.05224
F25B5.2b.1	0.49025	1.59856	0.32603	1.75974	0.42572	1.65716
R186.3.1	0.48289	1.56696	0.0	2.08877	0.38908	1.69217
C43G2.1a.1	0.53512	1.50863	0.34948	1.69088	0.4825	1.57282
K04D7.2a.1	0.46178	1.66431	0.0	2.06803	0.34688	1.73441
K08F4.7.1	0.4603	1.58354	0.35938	1.7408	0.32547	1.72614
F33E11.2a.1	0.54859	1.49165	0.3463	1.59804	0.47074	1.55196
F07C3.9.1			0.24766	1.69583	0.36297	1.60416
T01G1.4.1	0.42083	1.6572			0.22447	2.02027
VW02B12L.4.1	0.42887	1.62553			0.33334	1.74581
Y48G1C.1.1	0.38552	1.64747			0.26334	1.83639
VW02B12L.1.1	0.56142	1.45558	0.0	2.25701	0.38911	1.67123
F58F6.4.1	0.56961	1.45091	0.48231	1.57185	0.59399	1.43324
Y38F2AR.9.1	0.59743	1.3917	0.56844	1.45306	0.73017	1.25675
ZC376.5.1	0.48075	1.58435			0.37807	1.74739
W04C9.4.1	0.46407	1.59089	0.37098	1.69564	0.44092	1.57747
F20D1.3.1	0.59872	1.43952	0.52085	1.51529	0.65715	1.36533
Y32H12A.2b.1	0.476	1.62283			0.34455	1.73039
C35A5.6a.1					0.21473	1.93261
Y66A7A.6.1	0.40403	1.71399	0.0	2.34377		
F31B9.3.1	0.36126	1.68636			0.17969	1.79688
Y40B1A.4.1	0.46906	1.61132	0.0	2.17496	0.4468	1.61904
W06E11.5a.1	0.50682	1.5103	0.33083	1.78611	0.42402	1.61589
T22A3.3a.1	0.44361	1.63154	0.0	1.9437	0.41191	1.6856
F35B12.7.1	0.61821	1.36821			0.27164	1.93284
C05C10.3.1	0.61504	1.42595	0.45238	1.61267	0.50801	1.52321
F26G5.9.1	0.4368	1.65671			0.3755	1.72858
F55C12.1b.1					0.25419	1.88772
F52E1.7a.1	0.5124	1.49687	0.45312	1.57337	0.53211	1.49985
F58F9.7.1					0.22233	2.001
T20G5.9.1	0.46327	1.55681	0.0	2.16502	0.36143	1.69197
F54D5.7.1	0.53066	1.50358	0.42694	1.63871	0.48456	1.55338
F53F4.14.1	0.42921	1.61371			0.39835	1.67257
F53E10.4a.1	0.39881	1.59881	0.48274	1.54922	0.58579	1.43604
K08D10.4.1	0.57031	1.44856	0.43833	1.60423	0.59721	1.41289
R151.6.1	0.52215	1.51061	0.38398	1.64769	0.46489	1.58637
F56D1.3.1	0.5492	1.48483	0.3967	1.45307	0.481	1.54769
ZK328.2.1	0.62059	1.41567	0.48845	1.53889	0.61821	1.42332
F52H3.5.1	0.45149	1.55822	0.22774	2.04962	0.45854	1.59004
W01A11.1a.1	0.58625	1.439	0.58392	1.44183	0.62034	1.40046
Y39B6A.10.1	0.54782	1.54369	0.42667	1.65107	0.44012	1.61545
ZK1058.1.1	0.56179	1.49423	0.43791	1.64251	0.5065	1.54255
Y62E10A.8a.1	0.41783	1.60951	0.0	2.09119	0.35934	1.7407
F33A8.1.1	0.50617	1.54247	0.0	2.01057	0.44871	1.61487
Y54E2A.4a.1	0.0	1.89301			0.24929	1.99431
T14G10.3.1	0.56192	1.45998	0.42145	1.61823	0.61036	1.40669
R02D3.8.1					0.0	2.31506
Y105E8A.17b.1	0.49516	1.53577	0.23073	2.0766	0.43073	1.6478
Y37E3.3.1	0.60411	1.37566	0.54883	1.54479	0.64292	1.33853
F29B9.1.1	0.38264	1.65271			0.0	2.06414
F16D3.2.1	0.53165	1.5097	0.42078	1.64279	0.48721	1.58172
W03G9.2.1	0.45116	1.63699	0.0	2.16127	0.19664	1.9664
K11H12.8a.1	0.58533	1.43883	0.4911	1.55225	0.65653	1.36578
T05D4.2.1	0.45208	1.59161			0.45324	1.62043
R07E3.5a.1					0.25247	2.01972
F55H2.5.1	0.49621	1.54297	0.22167	1.77333	0.43262	1.59031
Y71G12B.24a.1	0.45848	1.58944			0.29745	1.84065
B0361.8.1	0.41722	1.70271	0.0	2.2381	0.35312	1.72175
Y66D12A.5.1	0.30721	1.86934			0.19518	1.95181
F42A8.1.1	0.53575	1.50271	0.45672	1.6104	0.0	2.12644
Y48G1C.13.1	0.51907	1.49429	0.48657	1.54256	0.52641	1.51881
C54H2.5.1	0.59844	1.42994	0.47296	1.59172	0.63397	1.38358
F37H8.5.1	0.5935	1.42187	0.53817	1.48226	0.5947	1.42924
K06A4.7.1	0.50481	1.54189	0.56626	1.39513	0.68526	1.28403
T07E3.6a.1	0.35487	1.68919	0.36407	1.77168	0.40139	1.6877
F30F8.1.1					0.21182	2.11823
K10D2.2.1	0.55087	1.47554	0.3663	1.72839	0.45015	1.62785
F22B8.6a.1	0.49108	1.59603			0.22568	2.03109
F53B7.3.1	0.56916	1.4396	0.43127	1.64252	0.45744	1.62485
T19C3.8.1	0.55478	1.5028	0.42442	1.64708	0.4762	1.57404
Y41E3.9a.1	0.36511	1.68852			0.34899	1.74496
C02F4.2c.1	0.38549	1.73471			0.32214	1.7766
T21B10.1.1	0.58427	1.45908	0.37867	1.68077	0.43383	1.618
T07D3.7a.1	0.57838	1.45953	0.0	2.08784	0.52023	1.54798
Y108G3AL.2.1	0.44658	1.61321	0.0	2.18625	0.36035	1.72501
K07G5.6.1	0.38241	1.72086			0.0	2.21302
ZK418.5.1	0.56581	1.47572	0.36816	1.65912	0.47154	1.56666
F56G4.4.1	0.35263	1.68442			0.25027	2.00213
K02F3.2b.1	0.52906	1.5122	0.23701	2.13307	0.37808	1.76026
F32G8.6.1	0.59322	1.42726	0.53309	1.48331	0.5344	1.49236
Y71H2AM.17.1	0.53458	1.50124	0.40865	1.64504	0.48778	1.54172
Y75B8A.7.1	0.37947	1.75004			0.0	2.11075
T05H4.5.1	0.57538	1.4505	0.54384	1.48498	0.60067	1.42288
Y45F10D.7.1	0.41848	1.72827			0.0	2.1614
D1086.6.1	0.55998	1.48393	0.32333	1.77833	0.39915	1.65779
Y59A8B.10a.1	0.63929	1.37253	0.49835	1.54967	0.64369	1.37046
K07A1.8.1	0.61225	1.43204	0.51866	1.53341	0.57849	1.44967
F52D2.4.1	0.43718	1.60632			0.0	2.04612
F23F1.10.1	0.50242	1.49838	0.35458	1.68498	0.44699	1.5743
F56B3.11a.1	0.54644	1.50093	0.20056	2.00565	0.45175	1.62905
VK10D6R.1.1	0.29373	1.74579	0.0	2.04598	0.28664	1.71722
T20F10.2a.1	0.34792	1.74277			0.18913	1.89135
Y74C10AL.2.1	0.57821	1.43962	0.50597	1.50177	0.63352	1.36358
F22B5.1.1	0.46741	1.58179	0.0	1.96043	0.32931	1.80876
T25G3.4.1	0.59541	1.44048	0.45584	1.59404	0.49244	1.56432
H19N07.3a.1	0.36416	1.67268	0.38148	1.68333	0.39316	1.63034
Y53G8B.2.1					0.25699	2.05593
T04G9.7.1	0.61989	1.37164	0.58106	1.43553	0.72682	1.26559
R04D3.4.1	0.48736	1.54749				
B0250.5.1	0.60458	1.4205	0.50257	1.53792	0.54789	1.4859
K07H8.1.1						
F39H11.5.1	0.61105	1.41343	0.54048	1.4784	0.6828	1.32108
B0302.5.1	0.3587	1.75	0.35029	1.70877	0.47766	1.542
Y69A2AR.7a.1					0.0	1.94757
F55D10.1.1	0.38607	1.70849	0.0	2.15715	0.19422	1.94224
F43G9.1.1	0.60018	1.41188	0.54251	1.48544	0.63707	1.37172
F01G4.2a.1	0.59853	1.42199	0.53152	1.50844	0.63227	1.38755
F54D11.1.1	0.67694	1.33247	0.53031	1.51041	0.57908	1.45863
Y46E12BL.4a.1	0.26307	1.83826	0.0	2.41651	0.19941	1.97111
T02E1.5b.1	0.46785	1.57892	0.45249	1.60645	0.44397	1.61196
T27C4.4a.1	0.48766	1.56051	0.0	2.21053	0.43331	1.63561
D1054.3a.1	0.61489	1.39735	0.51651	1.55442	0.62916	1.3874
Y56A3A.32a.1	0.41585	1.7162	0.28783	1.84377	0.37765	1.71159
C26F1.3.1	0.47879	1.55584	0.33818	1.68606	0.29025	1.83094
ZK856.11.1	0.46916	1.55893			0.21368	1.92308
T13F2.2.1	0.45549	1.59215	0.35891	1.78537	0.49965	1.5229
D2024.6.1	0.61878	1.41171	0.541	1.49735	0.65811	1.35694
Y32F6A.5a.1	0.59652	1.4423	0.55448	1.47465	0.62922	1.39321
M28.5.1	0.67164	1.33505	0.58863	1.49161	0.7134	1.28661
F54D5.3.1	0.57227	1.42272	0.5598	1.45707	0.71502	1.28976
R03D7.6a.1	0.51291	1.53335	0.44908	1.58193	0.45269	1.59253
K04C2.2.1	0.46982	1.62781			0.33733	1.75485
F40A3.1.1					0.28012	1.89071
K05C4.5.1	0.41089	1.62678			0.17336	1.907
F58B3.1.1	0.5714	1.41853	0.48717	1.55364	0.62901	1.38136
Y53F4B.30.1	0.58738	1.43067	0.0	2.21667	0.3099	1.82502
F29F11.1.1	0.69816	1.316	0.60938	1.42004	0.66695	1.34971
Y37D8A.18.1	0.53491	1.47241	0.43217	1.58223	0.44347	1.61694
T01C3.2.1	0.55122	1.44434	0.44195	1.58563	0.60739	1.3858
W02D7.2.1			0.37006	1.7145	0.0	2.1027
F22F4.2.1	0.62705	1.4172	0.4848	1.59035	0.68003	1.34365
F49E12.2.1	0.6532	1.34284	0.63066	1.39051	0.74956	1.24863
C41D11.5.1	0.47562	1.60622	0.0	2.18349	0.4739	1.58014
Y17G7B.17.1	0.49256	1.5615	0.32069	1.67033	0.47673	1.58078
R31.2a.1	0.41291	1.66088	0.0	2.30552	0.29107	1.8224
K08F11.3.1	0.66342	1.3473	0.57607	1.47098	0.69329	1.31763
C55B7.9a.1	0.4602	1.56834	0.0	2.11149	0.35627	1.71325
F26H9.2.1	0.29145	1.85167			0.0	2.17094
F21F8.3.1	0.64856	1.35019	0.60531	1.40283	0.73665	1.29832
F37B4.7.1	0.65602	1.37191	0.49071	1.55361	0.54594	1.49101
F07C6.3.1	0.26948	1.7516			0.0	2.0269
F21C3.4a.1	0.29819	1.75965			0.0	2.14604
Y87G2A.9.1	0.45838	1.56602	0.42117	1.62822	0.41623	1.67034
H14E04.2c.1	0.44395	1.59993	0.22376	2.01384	0.4181	1.65466
Y105E8B.2a.1	0.30923	1.73004			0.0	2.1117
C56C10.8.1	0.57066	1.44789	0.49146	1.58852	0.6801	1.32521
W01B6.9.1	0.50541	1.55264	0.36905	1.69746	0.47357	1.56099
JC8.3a.1	0.62067	1.40863	0.59	1.42825	0.70178	1.32992
D2013.7.1	0.66209	1.34707	0.55525	1.4788	0.67246	1.34477
Y43C5A.3.1	0.40299	1.66311	0.0	2.11765	0.45229	1.57756
E04D5.1a.1	0.60298	1.42016	0.49714	1.55027	0.60255	1.42035
Y39A1C.4.1	0.5567	1.50338	0.48004	1.57896	0.55372	1.47194
F40F8.4.1	0.38675	1.62389	0.0	2.03922	0.34488	1.7422
R102.2.1	0.0	2.07693			0.0	2.35849
R05F9.12.1	0.58663	1.44669	0.54176	1.50824	0.62051	1.41627
C09D4.5.1	0.64835	1.36631	0.59128	1.43209	0.73805	1.2757
F49E11.1b.1	0.38322	1.68053	0.0	2.29623	0.34828	1.75255
Y119D3B.11.1	0.51391	1.54532	0.0	1.99163	0.4275	1.6475
Y71G12B.12a.1	0.50043	1.53412	0.4161	1.63561	0.52987	1.49675
T14G10.5a.1	0.6585	1.37075	0.54399	1.50083	0.67012	1.35186
F46A9.4.1	0.62792	1.37371	0.53114	1.41264	0.65933	1.39671
F02E9.9b.1	0.58148	1.45338	0.4609	1.57918	0.49963	1.55912
F42D1.2.1	0.64081	1.37853	0.0	2.19775	0.49524	1.55721
B0414.5.1	0.53513	1.49097	0.40616	1.66669	0.50914	1.54108
K08F8.1a.1	0.52613	1.52546	0.0	2.21584	0.38988	1.69591
Y55F3AM.15.1	0.61923	1.39485	0.52643	1.49669	0.61973	1.40827
K02A4.1.1	0.60226	1.43414	0.5133	1.5326	0.66484	1.35393
B0024.9a.1	0.58989	1.41075	0.47988	1.5622	0.61597	1.39871
F49D11.8.1	0.52919	1.48904	0.4722	1.55199	0.55467	1.47028
Y55F3AM.1.1	0.57172	1.43527	0.33138	1.75708	0.36442	1.72515
T12A2.2.1	0.64526	1.39017	0.58562	1.44892	0.68626	1.33249
