ORF	p3_10_young	p3_90_young	p3_10_middle	p3_90_middle	p3_10_old	p3_90_old
YDR084C	0.6674	1.34284	0.5601	1.47172	0.56187	1.4957
YFL031W	0.46582	1.57413	0.0	2.15315	0.14947	2.09256
YOR370C	0.62299	1.41127	0.52852	1.53556	0.60143	1.43079
YKL141W	0.72512	1.28086	0.78645	1.21821	0.7756	1.22798
YLL043W	0.52166	1.53782	0.47209	1.58228	0.55498	1.49529
YJR057W	0.48673	1.57539	0.26019	1.82134	0.18643	1.86426
YDR179C			0.24365	1.94918	0.20659	1.85932
YOR112W	0.39319	1.6403	0.23584	1.88672	0.33377	1.83574
YKL027W	0.47336	1.59886			0.28283	1.9798
YKL039W	0.67808	1.34744	0.68179	1.3543	0.70707	1.31696
YHL040C	0.5417	1.50324	0.74025	1.29007	0.71871	1.31852
YLR413W	0.71094	1.30993				
YNL070W	0.72177	1.27297	0.7395	1.24485	0.68083	1.2912
YHR106W			0.58244	1.45543	0.63198	1.40648
YHR026W	0.70403	1.30638	0.70634	1.30574	0.71615	1.29367
YHR132C	0.67102	1.35451	0.66043	1.36544	0.69633	1.3205
YDR088C			0.37373	1.6791	0.33117	1.82144
YKR021W						
YDL168W	0.70045	1.31634	0.7288	1.28993	0.72669	1.28035
YDR437W			0.40057	1.63943	0.50253	1.5362
YEL071W	0.74031	1.28511	0.76087	1.24691	0.75985	1.25283
YDL031W	0.54521	1.50036	0.21241	1.91171	0.334	1.83702
YDL135C	0.68441	1.32713	0.6738	1.34624	0.67458	1.34622
YPR108W	0.70872	1.31556	0.68605	1.33464	0.7046	1.31249
YBR098W						
YER172C						
YDR276C	0.69261	1.32759	0.7216	1.51217	0.66364	1.59717
YAL042W	0.54516	1.53412	0.52874	1.52474	0.56018	1.49606
YDR166C			0.23093	1.84747	0.18367	1.83673
YCR073W-A	0.64971	1.3656	0.62601	1.40238	0.6649	1.37479
YOR039W	0.63978	1.40146	0.62371	1.39079	0.63775	1.39344
YGR030C	0.47822	1.55336	0.18213	1.82131	0.41953	1.66239
YOL013C			0.47549	1.55714	0.55084	1.48187
YDL067C	0.69992	1.27139	0.73977	1.25692	0.74272	1.23689
YNL078W						
YBR279W	0.60512	1.41714	0.49477	1.56736	0.59784	1.43421
YDL015C	0.69239	1.34936	0.69254	1.32028	0.69762	1.32402
YKL024C	0.67987	1.33587	0.63212	1.39376	0.61785	1.40128
YCR053W	0.76305	1.25439	0.74774	1.26242	0.74641	1.28164
YML048W	0.67264	1.35422	0.68226	1.34554	0.6861	1.33205
YIL009C-A	0.0	2.38428				
YGL250W			0.34361	1.74532	0.42606	1.67986
YNL071W	0.75439	1.26182	0.76883	1.2415	0.75967	1.25732
YGL133W			0.28626	2.00385	0.0	2.12197
YGR165W	0.55167	1.49667	0.46715	1.62383	0.5161	1.53523
YIL047C	0.28887	2.02207	0.41205	1.67058	0.52469	1.51087
YLL018C-A	0.61266	1.3853	0.63696	1.36126	0.62464	1.38445
YDR398W	0.56241	1.48182	0.26667	1.86667	0.22837	1.82695
YLR240W					0.0	2.02979
YJR130C			0.22816	1.82531	0.56491	1.47324
YPR181C	0.71608	1.3175	0.65669	1.3715	0.66397	1.35664
YGR155W	0.73643	1.29748	0.7615	1.26087	0.76004	1.26293
YER030W	0.67577	1.33023	0.61715	1.39977	0.61692	1.42521
YER009W	0.77298	1.22244	0.79443	1.20493	0.77543	1.22674
YOR196C	0.47266	1.59215	0.41646	1.66584	0.55381	1.48257
YDR111C	0.29177	1.87877				
YGR261C	0.55388	1.48501	0.27	1.89	0.22167	1.7734
YML021C	0.49807	1.55537	0.25806	2.06452	0.2214	1.99262
YDR322W	0.52062	1.54772	0.47778	1.56415	0.55984	1.46897
YPR179C			0.23487	1.87898	0.20322	1.829
YNL048W	0.40487	1.70915	0.42935	1.68357	0.3147	1.73087
YGL062W	0.5	1.55558	0.6287	1.39694	0.66845	1.3602
YAL025C	0.62015	1.40805	0.3701	1.85051	0.3218	1.76992
YHR121W	0.65434	1.37318	0.54206	1.50213	0.60459	1.41488
YHL025W	0.48162	1.55702	0.33085	1.81967	0.53726	1.49667
YNL147W	0.66317	1.34947	0.6316	1.38264	0.66844	1.34727
YJL110C	0.28483	1.99381	0.4002	1.69775	0.42115	1.68644
YJR058C	0.33217	1.66083	0.41995	1.64465	0.50228	1.55857
YLL038C	0.36578	1.78563	0.19136	1.91358	0.0	1.95495
YLR188W						
YKL137W	0.63214	1.39547	0.60542	1.41873	0.58851	1.47704
YJR007W	0.74576	1.26956	0.72317	1.28878	0.72847	1.2877
YLR177W			0.49711	1.54545	0.56627	1.4745
YOR322C			0.46706	1.55421	0.56717	1.47681
YBR112C	0.55841	1.54609	0.46748	1.61743	0.56315	1.49774
YEL012W	0.46183	1.60596	0.63005	1.40467	0.6042	1.42812
YLR275W	0.55488	1.45317	0.60441	1.39007	0.62864	1.3753
YMR078C						
YNL183C	0.39079	1.66311	0.4741	1.60031	0.58685	1.44689
YMR073C	0.51058	1.52866	0.36622	1.64149	0.5139	1.50139
YMR178W	0.62986	1.40252	0.54355	1.46398	0.60656	1.41974
YPL009C	0.56211	1.47939	0.35949	1.703	0.18161	1.81612
YBR267W	0.52583	1.53279	0.44368	1.63799	0.49914	1.56743
YPR153W			0.0	2.10056		
YER033C			0.24691	1.97524	0.27765	1.94354
YKL012W			0.39864	1.69873	0.37981	1.68016
YIL144W			0.43326	1.63236	0.53057	1.50455
YDR539W	0.38683	1.70434	0.41142	1.64599	0.46552	1.59458
YHR147C	0.64211	1.37658	0.55371	1.49728	0.6098	1.41525
