Cele	Name	category	complex
WBGene00004471	C49H3.11.1	Ribosome	40S_subunit
WBGene00004472	C23G10.3.1	Ribosome	40S_subunit
WBGene00004470	F56F3.5.1	Ribosome	40S_subunit
WBGene00004473	Y43B11AR.4.1	Ribosome	40S_subunit
WBGene00004474	T05E11.1.1	Ribosome	40S_subunit
WBGene00004475	Y71A12B.1a.1	Ribosome	40S_subunit
WBGene00004476	ZC434.2.1	Ribosome	40S_subunit
WBGene00004477	F42C5.8a.1	Ribosome	40S_subunit
WBGene00004478	F40F8.10.1	Ribosome	40S_subunit
WBGene00004479	D1007.6.1	Ribosome	40S_subunit
WBGene00004480	F40F11.1.1	Ribosome	40S_subunit
WBGene00004481	F54E7.2.1	Ribosome	40S_subunit
WBGene00004482	C16A3.9.1	Ribosome	40S_subunit
WBGene00004483	F37C12.9.1	Ribosome	40S_subunit
WBGene00004484	F36A2.6.1	Ribosome	40S_subunit
WBGene00004491	F53A3.3a.1	Ribosome	40S_subunit
WBGene00004485	T01C3.6.1	Ribosome	40S_subunit
WBGene00004486	T08B2.10.1	Ribosome	40S_subunit
WBGene00004487	Y57G11C.16.1	Ribosome	40S_subunit
WBGene00004488	T05F1.3.1	Ribosome	40S_subunit
WBGene00004489	Y105E8A.16.1	Ribosome	40S_subunit
WBGene00004490	F37C12.11.1	Ribosome	40S_subunit
WBGene00004492	F28D1.7a.1	Ribosome	40S_subunit
WBGene00004493	T07A9.11.1	Ribosome	40S_subunit
WBGene00004494	K02B2.5.1	Ribosome	40S_subunit
WBGene00004495	F39B2.6.1	Ribosome	40S_subunit
WBGene00004496	F56E10.4.1	Ribosome	40S_subunit
WBGene00004497	Y41D4B.5.1	Ribosome	40S_subunit
WBGene00004498	B0412.4.1	Ribosome	40S_subunit
WBGene00004499	C26F1.4.1	Ribosome	40S_subunit
WBGene00004469	B0393.1.1	Ribosome	40S_subunit
WBGene00004412	Y71F9AL.13a.1	Ribosome	60S_subunit
WBGene00004410	Y62E10A.1.1	Ribosome	60S_subunit
WBGene00004414	F13B10.2a.1	Ribosome	60S_subunit
WBGene00004415	B0041.4.1	Ribosome	60S_subunit
WBGene00004416	F54C9.5.1	Ribosome	60S_subunit
WBGene00004417	R151.3.1	Ribosome	60S_subunit
WBGene00004418	F53G12.10.1	Ribosome	60S_subunit
WBGene00004419	Y24D9A.4.1	Ribosome	60S_subunit
WBGene00004413	B0250.1.1	Ribosome	60S_subunit
WBGene00004420	R13A5.8.1	Ribosome	60S_subunit
WBGene00004421	F10B5.1.1	Ribosome	60S_subunit
WBGene00004422	T22F3.4a.1	Ribosome	60S_subunit
WBGene00004423	F07D10.1.1	Ribosome	60S_subunit
WBGene00004424	JC8.3a.1	Ribosome	60S_subunit
WBGene00004425	C32E8.2a.1	Ribosome	60S_subunit
WBGene00004428	M01F1.2.1	Ribosome	60S_subunit
WBGene00004426	C04F12.4.1	Ribosome	60S_subunit
WBGene00004427	K11H12.2.1	Ribosome	60S_subunit
WBGene00004429	Y48G8AL.8.1	Ribosome	60S_subunit
WBGene00004430	Y45F10D.12.1	Ribosome	60S_subunit
WBGene00004432	E04A4.8.1	Ribosome	60S_subunit
WBGene00004431	C09D4.5.1	Ribosome	60S_subunit
WBGene00004433	C14B9.7.1	Ribosome	60S_subunit
WBGene00004434	C27A2.2a.1	Ribosome	60S_subunit
WBGene00004435	B0336.10.1	Ribosome	60S_subunit
WBGene00004438	F55D10.2.1	Ribosome	60S_subunit
WBGene00004436	D1007.12.1	Ribosome	60S_subunit
WBGene00004440	F28C6.7a.1	Ribosome	60S_subunit
WBGene00004441	C53H9.1.1	Ribosome	60S_subunit
WBGene00021350	Y37E3.8a.1	Ribosome	60S_subunit
WBGene00004442	R11D1.8.1	Ribosome	60S_subunit
WBGene00004443	B0513.3b.1	Ribosome	60S_subunit
WBGene00004444	Y106G6H.3a.1	Ribosome	60S_subunit
WBGene00004445	W09C5.6a.1	Ribosome	60S_subunit
WBGene00004446	T24B8.1a.1	Ribosome	60S_subunit
WBGene00004448	C42C1.14.1	Ribosome	60S_subunit
WBGene00004449	ZK652.4.1	Ribosome	60S_subunit
WBGene00004447	F10E7.7.1	Ribosome	60S_subunit
WBGene00004450	F37C12.4.1	Ribosome	60S_subunit
WBGene00004451	C54C6.1.1	Ribosome	60S_subunit
WBGene00004452	C06B8.8.1	Ribosome	60S_subunit
WBGene00004453	C26F1.9.1	Ribosome	60S_subunit
WBGene00006728	ZK1010.1.1	Ribosome	60S_subunit
WBGene00023067	F54D7.6.1	Ribosome	60S_subunit
WBGene00023068	F54D7.7.1	Ribosome	60S_subunit
WBGene00004456	Y48B6A.2.1	Ribosome	60S_subunit
WBGene00004408	F25H2.10.1	Ribosome	60S_subunit
WBGene00004409	Y37E3.7.1	Ribosome	60S_subunit
WBGene00016493	C37A2.7.1	Ribosome	60S_subunit
WBGene00018213	F39H12.2.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00022739	ZK430.1.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00021276	Y23H5B.5.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00018891	F55F8.3.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00017435	F13H8.2.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00013143	Y53C12B.1.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00021073	W07E6.1a.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00013892	ZC434.4.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00021789	Y51H7C.11.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00002196	T01G9.6a.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00020705	T22H9.1a.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00010627	K07C5.4.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00020915	W01B11.3.1	Ribosome_biogenesis_factor	SSU_processosome
WBGene00010896	M28.5.1	Ribosome_biogenesis_factor	SSU_processosome
