Scer	category	complex
YGR214W	Ribosome	40S_subunit
YLR048W	Ribosome	40S_subunit
YLR441C	Ribosome	40S_subunit
YML063W	Ribosome	40S_subunit
YGL123W	Ribosome	40S_subunit
YNL178W	Ribosome	40S_subunit
YJR145C	Ribosome	40S_subunit
YJR123W	Ribosome	40S_subunit
YBR181C	Ribosome	40S_subunit
YOR096W	Ribosome	40S_subunit
YNL096C	Ribosome	40S_subunit
YER102W	Ribosome	40S_subunit
YPL081W	Ribosome	40S_subunit
YBR189W	Ribosome	40S_subunit
YOR293W	Ribosome	40S_subunit
YMR230W	Ribosome	40S_subunit
YDR025W	Ribosome	40S_subunit
YBR048W	Ribosome	40S_subunit
YOR369C	Ribosome	40S_subunit
YDR064W	Ribosome	40S_subunit
YCR031C	Ribosome	40S_subunit
YJL191W	Ribosome	40S_subunit
YOL040C	Ribosome	40S_subunit
YJL190C	Ribosome	40S_subunit
YMR143W	Ribosome	40S_subunit
YDL083C	Ribosome	40S_subunit
YML024W	Ribosome	40S_subunit
YDR447C	Ribosome	40S_subunit
YDR450W	Ribosome	40S_subunit
YML026C	Ribosome	40S_subunit
YOL121C	Ribosome	40S_subunit
YNL302C	Ribosome	40S_subunit
YHL015W	Ribosome	40S_subunit
YKR057W	Ribosome	40S_subunit
YJL136C	Ribosome	40S_subunit
YLR367W	Ribosome	40S_subunit
YPR132W	Ribosome	40S_subunit
YER074W	Ribosome	40S_subunit
YGR027C	Ribosome	40S_subunit
YLR333C	Ribosome	40S_subunit
YGL189C	Ribosome	40S_subunit
YER131W	Ribosome	40S_subunit
YKL156W	Ribosome	40S_subunit
YOR167C	Ribosome	40S_subunit
YLR264W	Ribosome	40S_subunit
YLR388W	Ribosome	40S_subunit
YDL061C	Ribosome	40S_subunit
YLR287C-A	Ribosome	40S_subunit
YLR167W	Ribosome	40S_subunit
YPL220W	Ribosome	60S_subunit
YGL135W	Ribosome	60S_subunit
YDL130W	Ribosome	60S_subunit
YFR031C-A	Ribosome	60S_subunit
YOL039W	Ribosome	60S_subunit
YOR063W	Ribosome	60S_subunit
YBR031W	Ribosome	60S_subunit
YDR012W	Ribosome	60S_subunit
YPL131W	Ribosome	60S_subunit
YML073C	Ribosome	60S_subunit
YLR448W	Ribosome	60S_subunit
YPL198W	Ribosome	60S_subunit
YHL033C	Ribosome	60S_subunit
YGL076C	Ribosome	60S_subunit
YNL002C	Ribosome	60S_subunit
YIL018W	Ribosome	60S_subunit
YLL045C	Ribosome	60S_subunit
YGL147C	Ribosome	60S_subunit
YHR147C	Ribosome	60S_subunit
YNL067W	Ribosome	60S_subunit
YLR075W	Ribosome	60S_subunit
YPR102C	Ribosome	60S_subunit
YGR085C	Ribosome	60S_subunit
YEL054C	Ribosome	60S_subunit
YDR418W	Ribosome	60S_subunit
YDL082W	Ribosome	60S_subunit
YMR142C	Ribosome	60S_subunit
YIL133C	Ribosome	60S_subunit
YKL006W	Ribosome	60S_subunit
YHL001W	Ribosome	60S_subunit
YLR029C	Ribosome	60S_subunit
YMR121C	Ribosome	60S_subunit
YMR143W	Ribosome	60S_subunit
YNL069C	Ribosome	60S_subunit
YKL180W	Ribosome	60S_subunit
YJL177W	Ribosome	60S_subunit
YOL120C	Ribosome	60S_subunit
YOR312C	Ribosome	60S_subunit
YNL301C	Ribosome	60S_subunit
YBR084C-A	Ribosome	60S_subunit
YBL027W	Ribosome	60S_subunit
YMR242C	Ribosome	60S_subunit
YPL079W	Ribosome	60S_subunit
YBR191W	Ribosome	60S_subunit
YPL079W	Ribosome	60S_subunit
YLR061W	Ribosome	60S_subunit
YFL034C-A	Ribosome	60S_subunit
YER117W	Ribosome	60S_subunit
YBL087C	Ribosome	60S_subunit
YGL031C	Ribosome	60S_subunit
YGR148C	Ribosome	60S_subunit
YOL127W	Ribosome	60S_subunit
YLR344W	Ribosome	60S_subunit
YGR034W	Ribosome	60S_subunit
YDR471W	Ribosome	60S_subunit
YHR010W	Ribosome	60S_subunit
YGL103W	Ribosome	60S_subunit
YFR032C-A	Ribosome	60S_subunit
YGL030W	Ribosome	60S_subunit
YDL075W	Ribosome	60S_subunit
YLR406C	Ribosome	60S_subunit
YBL092W	Ribosome	60S_subunit
YOR234C	Ribosome	60S_subunit
YER056C-A	Ribosome	60S_subunit
YIL052C	Ribosome	60S_subunit
YDL191W	Ribosome	60S_subunit
YPL143W	Ribosome	60S_subunit
YDL136W	Ribosome	60S_subunit
YMR194W	Ribosome	60S_subunit
YPL249C-A	Ribosome	60S_subunit
YLR185W	Ribosome	60S_subunit
YDR500C	Ribosome	60S_subunit
YLR325C	Ribosome	60S_subunit
YJL189W	Ribosome	60S_subunit
YIL148W	Ribosome	60S_subunit
YDL184C	Ribosome	60S_subunit
YDL133C-A	Ribosome	60S_subunit
YNL162W	Ribosome	60S_subunit
YHR141C	Ribosome	60S_subunit
YPR043W	Ribosome	60S_subunit
YJR094W-A	Ribosome	60S_subunit
YKR094C	Ribosome	60S_subunit
YLR340W	Ribosome	60S_subunit
YDL081C	Ribosome	60S_subunit
YDR382W	Ribosome	60S_subunit
YGL213C	Ribosome_biogenesis_factor	SSU_processosome
YJL109C	Ribosome_biogenesis_factor	SSU_processosome
YMR093W	Ribosome_biogenesis_factor	SSU_processosome
YCR057C	Ribosome_biogenesis_factor	SSU_processosome
YDR449C	Ribosome_biogenesis_factor	SSU_processosome
YLR129W	Ribosome_biogenesis_factor	SSU_processosome
YLR222C	Ribosome_biogenesis_factor	SSU_processosome
YNL061W	Ribosome_biogenesis_factor	SSU_processosome
YCL031C	Ribosome_biogenesis_factor	SSU_processosome
YGR090W	Ribosome_biogenesis_factor	SSU_processosome
YGL019W	Ribosome_biogenesis_factor	SSU_processosome
YOR287C	Ribosome_biogenesis_factor	SSU_processosome
YLR197W	Ribosome_biogenesis_factor	SSU_processosome
YOR310C	Ribosome_biogenesis_factor	SSU_processosome
YEL026W	Ribosome_biogenesis_factor	SSU_processosome
YDL014W	Ribosome_biogenesis_factor	SSU_processosome
YPR137W	Ribosome_biogenesis_factor	SSU_processosome
YHR148W	Ribosome_biogenesis_factor	SSU_processosome
YNL075W	Ribosome_biogenesis_factor	SSU_processosome
YOL010W	Ribosome_biogenesis_factor	SSU_processosome
YPL217C	Ribosome_biogenesis_factor	SSU_processosome
YLR186W	Ribosome_biogenesis_factor	SSU_processosome
YDL148C	Ribosome_biogenesis_factor	SSU_processosome
YPR144C	Ribosome_biogenesis_factor	SSU_processosome
YML093W	Ribosome_biogenesis_factor	SSU_processosome
YCR047C	Ribosome_biogenesis_factor	pre-40S_complex
YOL023W	Ribosome_biogenesis_factor	pre-40S_complex
