Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	EMBL	RefSeq
A0A061ACU2	reviewed	PIEZ1_CAEEL	Piezo-type mechanosensitive ion channel component 1	pezo-1 C10C5.1	Caenorhabditis elegans	2442	BX284604;BX284604;BX284604;BX284604;BX284604;BX284604;BX284604;BX284604;BX284604;BX284604;BX284604;BX284604;	NP_001255385.2 [A0A061ACU2-9];NP_001255386.2 [A0A061ACU2-10];NP_001255387.2 [A0A061ACU2-4];NP_001255388.2 [A0A061ACU2-5];NP_001255389.2 [A0A061ACU2-2];NP_001255390.2 [A0A061ACU2-3];NP_001255391.2 [A0A061ACU2-6];NP_001293677.1 [A0A061ACU2-12];NP_001293979.1 [A0A061ACU2-7];NP_001293980.1 [A0A061ACU2-1];NP_001293981.1 [A0A061ACU2-8];NP_001293982.1;
A0A0K3AUE4	reviewed	SEA2_CAEEL	Signal element on autosome protein 2	sea-2 K10G6.3	Caenorhabditis elegans	1968	BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;BX284602;	NP_001293473.1 [A0A0K3AUE4-2];NP_001293474.1 [A0A0K3AUE4-3];NP_001293475.1 [A0A0K3AUE4-4];NP_001293476.1;NP_001293477.1;NP_001300480.1;NP_001300481.1;NP_001300482.1;NP_001300483.1;NP_001300564.1;NP_001300565.1;NP_001300566.1;NP_001300567.1;NP_001300568.1 [A0A0K3AUE4-14];NP_001300569.1 [A0A0K3AUE4-15];NP_001300570.1 [A0A0K3AUE4-16];NP_001300571.1 [A0A0K3AUE4-17];NP_001300572.1 [A0A0K3AUE4-18];NP_001300573.1 [A0A0K3AUE4-19];
A0A0K3AUJ9	reviewed	PRDX_CAEEL	Peroxiredoxin prdx-2 (EC 1.11.1.24) (2-Cys peroxiredoxin 2)	prdx-2 prx2 tag-56 F09E5.15	Caenorhabditis elegans	201	BX284602;BX284602;BX284602;	NP_001122604.1;NP_001300536.1 [A0A0K3AUJ9-1];NP_872052.1;
A0A0K3AV08	reviewed	MLK1_CAEEL	Mitogen-activated protein kinase kinase kinase mlk-1 (EC 2.7.11.25) (Mixed lineage kinase homolog 1)	mlk-1 K11D12.10	Caenorhabditis elegans	1059	BX284605;BX284605;BX284605;BX284605;	NP_001300151.1 [A0A0K3AV08-1];NP_001300152.1 [A0A0K3AV08-4];NP_741536.1 [A0A0K3AV08-3];NP_741537.1 [A0A0K3AV08-2];
A0A0K3AWM6	reviewed	MOM5_CAEEL	Protein mom-5	mom-5 T23D8.1	Caenorhabditis elegans	570	AF013953;BX284601;BX284601;	NP_001300437.1 [A0A0K3AWM6-1];NP_492635.1 [A0A0K3AWM6-2];
A0A0K3AXH1	reviewed	ARID1_CAEEL	AT-rich interactive domain-containing protein arid-1	arid-1 Y108G3AL.7	Caenorhabditis elegans	1648	BX284605;BX284605;BX284605;BX284605;BX284605;BX284605;BX284605;BX284605;BX284605;	NP_001041181.2 [A0A0K3AXH1-2];NP_001300004.1 [A0A0K3AXH1-1];NP_001300005.1 [A0A0K3AXH1-3];NP_001300006.1 [A0A0K3AXH1-4];NP_001300007.1 [A0A0K3AXH1-5];NP_001300008.1 [A0A0K3AXH1-6];NP_001300009.1 [A0A0K3AXH1-7];NP_001300010.1 [A0A0K3AXH1-8];NP_001300218.1 [A0A0K3AXH1-9];
A0A131MCZ8	reviewed	CNNM3_CAEEL	Metal transporter cnnm-3 (CNNM family homolog 3)	cnnm-3 C33D12.2	Caenorhabditis elegans	797	BX284606;BX284606;BX284606;BX284606;	NP_001309670.1 [A0A131MCZ8-1];NP_001309671.1;NP_001309682.1;NP_508520.1;
A0A163UT06	reviewed	SET17_CAEEL	Histone-lysine N-methyltransferase set-17 (EC 2.1.1.-) (EC 2.1.1.364) (SET domain-containing protein 17)	set-17 T21B10.5	Caenorhabditis elegans	277	BX284602;BX284602;	NP_001317778.1 [A0A163UT06-1];NP_001317779.1;
A0A1C3NSL9	reviewed	AJM1_CAEEL	Apical junction molecule	ajm-1 C25A11.4 CELE_C25A11.4	Caenorhabditis elegans	1644	BX284606;BX284606;BX284606;BX284606;BX284606;BX284606;BX284606;BX284606;BX284606;BX284606;BX284606;	NP_001317735.1;NP_001317736.1 [A0A1C3NSL9-2];NP_001317887.1;NP_001317888.1 [A0A1C3NSL9-9];NP_001317889.1 [A0A1C3NSL9-1];NP_001317890.1 [A0A1C3NSL9-5];NP_001317891.1 [A0A1C3NSL9-4];NP_001317897.1 [A0A1C3NSL9-7];NP_001317898.1 [A0A1C3NSL9-11];NP_001317899.1 [A0A1C3NSL9-3];NP_509536.1;
A0A5E4M3Q4	reviewed	SYD9_CAEEL	Zinc finger protein syd-9 (Synapse defective protein 9)	syd-9 tag-239 ztf-10 ZK867.1	Caenorhabditis elegans	554	BX284606;BX284606;BX284606;BX284606;BX284606;	NP_509213.1 [A0A5E4M3Q4-4];NP_509214.2 [A0A5E4M3Q4-3];NP_509216.1;
A0A5S9MMK5	reviewed	FPEB1_CAEEL	FLYWCH-type zinc finger-containing protein peb-1 (Pharyngeal enhancer binding protein peb-1)	peb-1 T14F9.4	Caenorhabditis elegans	443	AF160187;BX284606;BX284606;BX284606;	NP_001024910.1 [A0A5S9MMK5-2];NP_001024911.2;
