	young	middle	old
YAL001C	14.027	12.964	11.285
YAL002W	6.127	5.387	6.421
YAL003W	2558.028	1851.758	1940.376
YAL005C	1526.337	4153.65	4900.116
YAL007C	162.165	44.134	49.497
YAL008W	67.159	109.021	84.649
YAL009W	8.898	4.407	7.439
YAL010C	8.683	8.925	7.444
YAL011W	9.647	14.166	12.364
YAL012W	1061.991	397.503	346.048
YAL013W	31.155	32.102	34.859
YAL014C	22.444	33.111	37.733
YAL016W	116.108	120.263	131.735
YAL017W	18.485	29.702	27.767
YAL019W	25.025	11.914	16.429
YAL021C	53.979	35.678	38.076
YAL022C	30.122	16.158	15.954
YAL023C	162.214	61.493	63.151
YAL024C	6.109	4.661	3.55
YAL025C	56.135	24.45	31.823
YAL026C	22.256	14.506	15.366
YAL027W	11.317	14.589	12.344
YAL029C	16.041	9.028	7.307
YAL030W	82.903	95.119	65.335
YAL031C	10.442	15.145	19.104
YAL032C	13.714	38.096	40.047
YAL033W	43.708	12.96	21.929
YAL034C	9.042	261.398	212.179
YAL035W	205.883	75.857	60.287
YAL036C	108.674	43.106	49.934
YAL038W	10193.911	4966.067	4394.836
YAL039C	47.639	105.974	115.155
YAL040C	18.61	30.291	25.756
YAL041W	19.535	19.354	25.676
YAL042W	117.866	52.247	43.013
YAL043C	26.907	22.256	20.328
YAL044C	713.054	403.72	633.379
YAL044W-A	58.504	43.062	70.501
YAL046C	60.239	31.652	46.783
YAL047C	8.748	7.082	9.238
YAL048C	9.159	8.694	14.76
YAL049C	79.54	148.887	132.252
YAL051W	11.483	23.931	20.397
YAL053W	36.416	99.451	128.3
YAL054C	9.049	339.105	385.563
YAL055W	14.964	30.221	26.437
YAL056W	9.336	10.983	18.21
YAL058W	13.445	6.064	7.688
YAL059W	41.381	16.156	15.688
YAL060W	129.405	115.833	80.186
YAL061W	31.029	670.8	874.043
YAL062W	8.949	262.802	216.526
YAR002C-A	255.696	116.419	140.751
YAR002W	47.755	26.279	32.359
YAR007C	72.379	61.007	50.159
YAR014C	20.372	15.366	18.727
YAR015W	71.469	74.683	77.121
YAR018C	15.518	7.079	7.736
YAR019C	4.307	7.671	6.952
YAR027W	54.778	86.543	88.935
YAR028W	30.183	66.68	45.013
YAR035W	19.924	401.428	455.596
YAR042W	17.031	19.447	20.15
YBL001C	258.03	260.208	290.098
YBL002W	1160.774	537.153	573.938
YBL003C	1116.986	478.459	507.918
YBL004W	24.354	12.32	11.573
YBL005W	5.546	6.119	3.718
YBL006C	53.584	28.463	28.805
YBL007C	102.084	60.765	54.537
YBL008W	10.269	8.459	8.219
YBL009W	22.839	9.989	7.794
YBL010C	14.059	16.373	10.264
YBL011W	23.684	13.909	15.552
YBL014C	4.559	4.243	3.186
YBL015W	63.511	746.052	826.74
YBL017C	55.107	32.588	36.17
YBL018C	40.171	43.53	26.759
YBL019W	5.694	10.185	12.421
YBL020W	16.881	8.994	15.274
YBL022C	67.857	43.043	39.745
YBL023C	24.07	13.95	14.955
YBL024W	100.283	38.406	34.214
YBL025W	16.739	25.877	21.216
YBL026W	138.933	154.079	129.21
YBL027W	1968.036	910.658	808.394
YBL028C	111.644	70.342	61.449
YBL029C-A	51.046	170.166	208.681
YBL029W	14.043	52.277	54.37
YBL030C	828.032	3441.731	2910.657
YBL032W	157.808	49.401	40.879
YBL033C	35.515	109.461	112.466
YBL034C	9.852	8.158	9.652
YBL035C	20.833	13.782	16.517
YBL036C	94.669	74.708	63.278
YBL037W	16.521	23.471	22.35
YBL038W	54.887	123.165	106.467
YBL039C	155.841	38.587	24.926
YBL039W-B	20.048	69.748	48.65
YBL040C	95.691	77.807	64.549
YBL041W	232.38	225.512	213.413
YBL042C	27.1	7.682	5.875
YBL043W	40.183	1921.926	1863.116
YBL045C	231.149	508.499	541.656
YBL046W	17.503	15.507	15.183
YBL047C	103.82	75.613	86.613
YBL050W	99.784	136.555	139.356
YBL051C	54.055	60.737	72.504
YBL052C	4.901	3.416	3.17
